Model,Type,Log-Likelihood,AIC,BIC
LogNormalAFT,AFT,-1454.1501065961393,2950.3002131922785,2922.115723750243
LogLogisticAFT,AFT,-1455.129129817834,2952.258259635668,2924.0737701936323
WeibullAFT,AFT,-1458.178563473323,2958.357126946646,2930.1726375046105
LogNormal,Parametric,-1602.5175737158368,3209.0351474316735,3218.850657989638
LogLogistic,Parametric,-1605.2077378966687,3214.4154757933375,3224.230986351302
Exponential,Parametric,-1606.9804067318623,3215.9608134637247,3220.868568742707
Weibull,Parametric,-1606.4305853407732,3216.8611706815464,3226.676681239511
